ID,Name,Description
S0532,Lucifer,"Lucifer  can use system resources to mine cryptocurrency, dropping XMRig to mine Monero. "
G0106,Rocke,Rocke  has distributed cryptomining malware.  
S0468,Skidmap,Skidmap  is a kernel-mode rootkit used for cryptocurrency mining. 
G0139,TeamTNT,"TeamTNT  has deployed XMRig Docker images to mine cryptocurrency.     TeamTNT  has also infected Docker containers and Kubernetes clusters with XMRig, and used RainbowMiner and lolMiner for mining cryptocurrency. "
S0045,ADVSTORESHELL,ADVSTORESHELL  can enumerate registry keys.  
G0050,APT32,APT32 's backdoor can query the Windows Registry to gather system information.  
G0087,APT39,APT39  has used various strains of malware to query the Registry. 
S0438,Attor,Attor  has opened the registry and performed query searches. 
S0344,Azorult,Azorult  can check for installed software on the system under the Registry key  Software\Microsoft\Windows\CurrentVersion\Uninstall . 
S0414,BabyShark,BabyShark  has executed the  reg query  command for  HKEY_CURRENT_USER\Software\Microsoft\Terminal Server Client\Default . 
S0031,BACKSPACE,BACKSPACE  is capable of enumerating and making modifications to an infected system's Registry. 
S0239,Bankshot,Bankshot  searches for certain Registry keys to be configured before executing the payload. 
S0534,Bazar,Bazar  can query  Windows\CurrentVersion\Uninstall  for installed applications.  
S0574,BendyBear,BendyBear  can query the host's Registry key at  HKEY_CURRENT_USER\Console\QuickEdit  to retrieve data. 
S0268,Bisonal,Bisonal  has used the RegQueryValueExA function to retrieve proxy information in the Registry. 
S0570,BitPaymer,BitPaymer  can use the RegEnumKeyW to iterate through Registry keys. 
S0252,Brave Prince,Brave Prince  gathers information about the Registry. 
S1039,Bumblebee,Bumblebee  can check the Registry for specific keys. 
S0030,Carbanak,Carbanak  checks the Registry key  HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings  for proxy configurations information. 
S0484,Carberp,"Carberp  has searched the Image File Execution Options registry key for ""Debugger"" within every subkey. "
S0335,Carbon,Carbon  enumerates values in the Registry. 
S0348,Cardinal RAT,Cardinal RAT  contains watchdog functionality that periodically ensures  HKCU\Software\Microsoft\Windows NT\CurrentVersion\Windows\Load  is set to point to its executable. 
S0674,CharmPower,CharmPower  has the ability to enumerate  Uninstall  registry values. 
G0114,Chimera,Chimera  has queried Registry keys using  reg query \ \HKU\ \SOFTWARE\Microsoft\Terminal Server Client\Servers  and  reg query \ \HKU\ \Software\Microsoft\Windows\CurrentVersion\Internet Settings . 
S0023,CHOPSTICK,"CHOPSTICK  provides access to the Windows Registry, which can be used to gather information. "
S0660,Clambling,"Clambling  has the ability to enumerate Registry keys, including  KEY_CURRENT_USER\Software\Bitcoin\Bitcoin-Qt\strDataDir  to search for a bitcoin wallet.  "
S0154,Cobalt Strike,Cobalt Strike  can query  HKEY_CURRENT_USER\Software\Microsoft\Office\ \Excel\Security\AccessVBOM\   to determine if the security setting for restricting default programmatic access is enabled.  
S0126,ComRAT,ComRAT  can check the default browser by querying  HKCR\http\shell\open\command . 
S0115,Crimson,Crimson  can check the Registry for the presence of  HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\last_edate  to determine how long it has been installed on a host. 
S0673,DarkWatchman,DarkWatchman  can query the Registry to determine if it has already been installed on the system. 
S0354,Denis,Denis  queries the Registry for keys and values. 
S0021,Derusbi,Derusbi  is capable of enumerating Registry keys and values. 
S0186,DownPaper,DownPaper  searches and reads the value of the Windows Update Registry Run key. 
G0035,Dragonfly,Dragonfly  has queried the Registry to identify victim information. 
S0567,Dtrack,"Dtrack  can collect the RegisteredOwner, RegisteredOrganization, and InstallDate registry values. "
S0091,Epic,Epic  uses the  rem reg query  command to obtain values from Registry keys. 
S0512,FatDuke,FatDuke  can get user agent strings for the default browser from  HKCU\Software\Classes\http\shell\open\command . 
S0267,FELIXROOT,FELIXROOT  queries the Registry for specific keys for potential privilege escalation and proxy information.  FELIXROOT  has also used WMI to query the Windows Registry.  
S0182,FinFisher,FinFisher  queries Registry values as part of its anti-sandbox checks.  
G0117,Fox Kitten,Fox Kitten  has accessed Registry hives ntuser.dat and UserClass.dat. 
S1044,FunnyDream,FunnyDream  can check  Software\Microsoft\Windows\CurrentVersion\Internet Settings  to extract the  ProxyServer  string. 
S0666,Gelsemium,Gelsemium  can open random files and Registry keys to obscure malware behavior from sandbox analysis. 
S0032,gh0st RAT,gh0st RAT  has checked for the existence of a Service key to determine if it has already been installed on the system. 
S0249,Gold Dragon,Gold Dragon  enumerates registry keys with the command  regkeyenum  and obtains information for the Registry key  HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Run . 
S0376,HOPLIGHT,"A variant of  HOPLIGHT  hooks lsass.exe, and lsass.exe then checks the Registry for the data value 'rdpproto' under the key  SYSTEM\CurrentControlSet\Control\Lsa Name . "
S0203,Hydraq,"Hydraq  creates a backdoor through which remote attackers can retrieve system information, such as CPU speed, from Registry keys.  "
S0604,Industroyer,Industroyer  has a data wiper component that enumerates keys in the Registry  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services . 
S0260,InvisiMole,"InvisiMole  can enumerate Registry values, keys, and data. "
S0201,JPIN,JPIN  can enumerate Registry keys. 
G0094,Kimsuky,Kimsuky  has obtained specific Registry keys and values on a compromised host. 
G0032,Lazarus Group,"Lazarus Group  malware IndiaIndia checks Registry keys within HKCU and HKLM to determine if certain applications are present, including SecureCRT, Terminal Services, RealVNC, TightVNC, UltraVNC, Radmin, mRemote, TeamViewer, FileZilla, pcAnyware, and Remote Desktop. Another  Lazarus Group  malware sample checks for the presence of the following Registry key: HKEY_CURRENT_USER\Software\Bitcoin\Bitcoin-Qt .   "
S0513,LiteDuke,LiteDuke  can query the Registry to check for the presence of  HKCU\Software\KasperskyLab . 
S0680,LitePower,LitePower  can query the Registry for keys added to execute COM hijacking. 
S0532,Lucifer,Lucifer  can check for existing stratum cryptomining information in  HKLM\Software\Microsoft\Windows\CurrentVersion\spreadCpuXmr – %stratum info% . 
S1060,Mafalda,Mafalda  can enumerate Registry keys with all subkeys and values. 
S1015,Milan,Milan  can query  HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Cryptography MachineGuid  to retrieve the machine GUID. 
S1047,Mori,Mori  can read data from the Registry including from  HKLM\Software\NFC\IPA  and HKLM\Software\NFC\ . 
S0385,njRAT,njRAT  can read specific registry values. 
G0049,OilRig,"OilRig  has used  reg query ""HKEY_CURRENT_USER\Software\Microsoft\Terminal Server Client\Default""  on a victim to query the Registry. "
C0014,Operation Wocao,"During  Operation Wocao , the threat actors executed  /c cd /d c:\windows\temp\ & reg query HKEY_CURRENT_USER\Software\<username>\PuTTY\Sessions\  to detect recent PuTTY sessions, likely to further lateral movement. "
S0165,OSInfo,OSInfo  queries the registry to look for information about Terminal Services. 
S1050,PcShare,PcShare  can search the registry files of a compromised host. 
S0517,Pillowmint,Pillowmint  has used shellcode which reads code stored in the registry keys  \REGISTRY\SOFTWARE\Microsoft\DRM  using the native Windows API as well as read  HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\Tcpip\Parameters\Interfaces  as part of its C2. 
S0013,PlugX,PlugX  can enumerate and query for information contained within the Windows Registry.  
S0145,POWERSOURCE,POWERSOURCE  queries Registry keys in preparation for setting Run keys to achieve persistence. 
S0194,PowerSploit,PowerSploit  contains a collection of Privesc-PowerUp modules that can query Registry keys for potential opportunities.  
S0184,POWRUNER,POWRUNER  may query the Registry by running  reg query  on a victim. 
S0238,Proxysvc,Proxysvc  gathers product names from the Registry key:  HKLM\Software\Microsoft\Windows NT\CurrentVersion ProductName  and the processor description from the Registry key  HKLM\HARDWARE\DESCRIPTION\System\CentralProcessor\0 ProcessorNameString . 
S0269,QUADAGENT,QUADAGENT  checks if a value exists within a Registry key in the HKCU hive whose name is the same as the scheduled task it has created. 
S1076,QUIETCANARY,QUIETCANARY  has the ability to retrieve information from the Registry. 
S0241,RATANKBA,"RATANKBA  uses the command  reg query ""HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\InternetSettings"" . "
S0172,Reaver,Reaver  queries the Registry to determine the correct Startup path to use for persistence. 
S0075,Reg,Reg  may be used to gather details from the Windows Registry of a local or remote system at the command-line interface. 
S0496,REvil,REvil  can query the Registry to get random file extensions to append to encrypted files. 
S0448,Rising Sun,Rising Sun  has identified the OS product name from a compromised host by searching the registry for  SOFTWARE\MICROSOFT\Windows NT\ CurrentVersion | ProductName . 
S0240,ROKRAT,ROKRAT  can access the  HKLM\System\CurrentControlSet\Services\mssmbios\Data\SMBiosData  Registry key to obtain the System manufacturer value to identify the machine type. 
S1018,Saint Bot,Saint Bot  has used  check_registry_keys  as part of its environmental checks. 
S0140,Shamoon,Shamoon  queries several Registry keys to identify hard disk partitions to overwrite. 
S1019,Shark,Shark  can query  HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Cryptography MachineGuid  to retrieve the machine GUID. 
S0589,Sibot,Sibot  has queried the registry for proxy server information. 
S0692,SILENTTRINITY,"SILENTTRINITY  can use the  GetRegValue  function to check Registry keys within  HKCU\Software\Policies\Microsoft\Windows\Installer\AlwaysInstallElevated  and  HKLM\Software\Policies\Microsoft\Windows\Installer\AlwaysInstallElevated . It also contains additional modules that can check software AutoRun values and use the Win32 namespace to get values from HKCU, HKLM, HKCR, and HKCC hives. "
S0627,SodaMaster,SodaMaster  has the ability to query the Registry to detect a key specific to VMware. 
G0038,Stealth Falcon,Stealth Falcon  malware attempts to determine the installed version of .NET by querying the Registry. 
S0380,StoneDrill,StoneDrill  has looked in the registry to find the default browser path. 
S0603,Stuxnet,Stuxnet  searches the Registry for indicators of security programs. 
S0559,SUNBURST,SUNBURST  collected the registry value  HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Cryptography\MachineGuid  from compromised hosts. 
S1064,SVCReady,SVCReady  can search for the  HKEY_LOCAL_MACHINE\HARDWARE\DESCRIPTION\System  Registry key to gather system information. 
S0242,SynAck,SynAck  enumerates Registry keys associated with event logs. 
S0011,Taidoor,Taidoor  can query the Registry on compromised hosts using  RegQueryValueExA . 
S0560,TEARDROP,TEARDROP  checked that  HKU\SOFTWARE\Microsoft\CTF  existed before decoding its embedded payload.  
G0027,Threat Group-3390,A  Threat Group-3390  tool can read and decrypt stored Registry values. 
S0668,TinyTurla,TinyTurla  can query the Registry for its configuration information. 
G0010,Turla,Turla  surveys a system upon check-in to discover information in the Windows Registry with the  reg query  command.    Turla  has also retrieved PowerShell payloads hidden in Registry keys as well as checking keys associated with null session named pipes . 
S0022,Uroburos,"Uroburos  can query the Registry, typically  HKLM:\SOFTWARE\Classes\.wav\OpenWithProgIds , to find the key and path to decrypt and load its kernel driver and kernel driver loader. "
S0386,Ursnif,Ursnif  has used  Reg  to query the Registry for installed programs.  
S0476,Valak,Valak  can use the Registry for code updates and to collect credentials. 
S0180,Volgmer,Volgmer  checks the system for certain Registry keys. 
G1017,Volt Typhoon,"Volt Typhoon  has queried the Registry on compromised systems,  reg query hklm\software\ , for information on installed software. "
S0612,WastedLocker,WastedLocker  checks for specific registry keys related to the  UCOMIEnumConnections  and  IActiveScriptParseProcedure32  interfaces. 
S0579,Waterbear,"Waterbear  can query the Registry key  ""HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\MSDTC\MTxOCI""  to see if the value  OracleOcilib  exists. "
S0155,WINDSHIELD,WINDSHIELD  can gather Registry values. 
S1065,Woody RAT,Woody RAT  can search registry keys to identify antivirus programs on an compromised host. 
S0251,Zebrocy,Zebrocy  executes the  reg query  command to obtain information in the Registry. 
S0330,Zeus Panda,Zeus Panda  checks for the existence of a Registry key and if it contains certain values. 
G0128,ZIRCONIUM,ZIRCONIUM  has used a tool to query the Registry for proxy settings. 
S0412,ZxShell,ZxShell  can query the netsvc group value data located in the svchost group Registry key. 
S1013,ZxxZ,ZxxZ  can search the registry of a compromised host. 
S0065,4H RAT,4H RAT  has the capability to obtain a listing of running processes (including loaded modules). 
S0045,ADVSTORESHELL,ADVSTORESHELL  can list running processes. 
S0331,Agent Tesla,Agent Tesla  can list the current running processes on the system. 
G0138,Andariel,Andariel  has used  tasklist  to enumerate processes and find a specific string. 
S0622,AppleSeed,AppleSeed  can enumerate the current process on a compromised host. 
G0006,APT1,APT1  gathered a list of running processes on the system using  tasklist /v . 
G0007,APT28,An  APT28  loader Trojan will enumerate the victim's processes searching for explorer.exe if its current process does not have necessary permissions. 
G0022,APT3,APT3  has a tool that can list out currently running processes.  
G0067,APT37,APT37 's Freenki malware lists running processes using the Microsoft Windows API. 
G0082,APT38,"APT38  leveraged Sysmon to understand the processes, services in the organization. "
S0456,Aria-body,Aria-body  has the ability to enumerate loaded modules for a process.  .
S0373,Astaroth,Astaroth  searches for different processes on the system. 
S1087,AsyncRAT,AsyncRAT  can examine running processes to determine if a debugger is present. 
S0640,Avaddon,Avaddon  has collected information about running processes. 
S0473,Avenger,Avenger  has the ability to use  Tasklist  to identify running processes. 
S1053,AvosLocker,AvosLocker  has discovered system processes by calling  RmGetList . 
S0344,Azorult,Azorult  can collect a list of running processes by calling CreateToolhelp32Snapshot.  
S0638,Babuk,Babuk  has the ability to check running processes on a targeted system.   
S0414,BabyShark,BabyShark  has executed the  tasklist  command. 
S0093,Backdoor.Oldrea,Backdoor.Oldrea  collects information about running processes. 
S0031,BACKSPACE,BACKSPACE  may collect information about running processes. 
S0606,Bad Rabbit,Bad Rabbit  can enumerate all running processes to compare hashes. 
S1081,BADHATCH,BADHATCH  can retrieve a list of running processes from a compromised machine. 
S0239,Bankshot,Bankshot  identifies processes and collects the process ids. 
S0534,Bazar,Bazar  can identity the current process on a compromised host. 
S0127,BBSRAT,BBSRAT  can list running processes. 
S0017,BISCUIT,BISCUIT  has a command to enumerate running processes and identify their owners. 
S0268,Bisonal,Bisonal  can obtain a list of running processes on the victim’s machine.   
S0069,BLACKCOFFEE,BLACKCOFFEE  has the capability to discover processes. 
S0089,BlackEnergy,BlackEnergy  has gathered a process list by using  Tasklist .exe.   
S0657,BLUELIGHT,BLUELIGHT  can collect process filenames and SID authority level. 
S0486,Bonadan,Bonadan  can use the  ps  command to discover other cryptocurrency miners active on the system. 
S0252,Brave Prince,Brave Prince  lists the running processes. 
S1063,Brute Ratel C4,Brute Ratel C4  can enumerate all processes and locate specific process IDs (PIDs). 
S1039,Bumblebee,Bumblebee  can identify processes associated with analytical tools.   
S0482,Bundlore,Bundlore  has used the  ps  command to list processes. 
C0015,C0015,"During  C0015 , the threat actors used the  tasklist /s  command as well as  taskmanager  to obtain a list of running processes. "
S0693,CaddyWiper,CaddyWiper  can obtain a list of current processes. 
S0351,Cannon,Cannon  can obtain a list of processes running on the system.  
S0030,Carbanak,Carbanak  lists running processes. 
S0484,Carberp,Carberp  has collected a list of running processes. 
S0335,Carbon,Carbon  can list the processes on the victim’s machine. 
S0348,Cardinal RAT,"Cardinal RAT  contains watchdog functionality that ensures its process is always running, else spawns a new instance. "
S0572,Caterpillar WebShell,Caterpillar WebShell  can gather a list of processes running on the machine. 
S0674,CharmPower,CharmPower  has the ability to list running processes through the use of  tasklist . 
S0144,ChChes,ChChes  collects its process identifier (PID) on the victim. 
G0114,Chimera,Chimera  has used  tasklist  to enumerate processes. 
S0660,Clambling,Clambling  can enumerate processes on a targeted system. 
S0611,Clop,Clop  can enumerate all processes on the victim's machine. 
S0154,Cobalt Strike,Cobalt Strike 's Beacon payload can collect information on process details.   
S0244,Comnie,Comnie  uses the  tasklist  to view running processes on the victim’s machine. 
S0575,Conti,"Conti  can enumerate through all open processes to search for any that have the string ""sql"" in their process name. "
S0115,Crimson,Crimson  contains a command to list processes.   
S0625,Cuba,Cuba  can enumerate processes running on a victim's machine. 
S0687,Cyclops Blink,Cyclops Blink  can enumerate the process it is currently running under. 
S0497,Dacls,Dacls  can collect data on running and parent processes. 
S0334,DarkComet,DarkComet  can list active processes running on the victim’s machine. 
G0012,Darkhotel,Darkhotel  malware can collect a list of running processes on a system. 
S1066,DarkTortilla,DarkTortilla  can enumerate a list of running processes on a compromised system. 
G0009,Deep Panda,Deep Panda  uses the Microsoft  Tasklist  utility to list processes running on systems. 
S0021,Derusbi,Derusbi  collects current and parent process IDs.  
S0659,Diavol,"Diavol  has used  CreateToolhelp32Snapshot ,  Process32First , and  Process32Next  API calls to enumerate the running processes in the system. "
S0600,Doki,Doki  has searched for the current process’s PID. 
S0695,Donut,Donut  includes subprojects that enumerate and identify information about  Process Injection  candidates. 
S0472,down_new,down_new  has the ability to list running processes on a compromised host. 
S0694,DRATzarus,DRATzarus  can enumerate and examine running processes to determine if a debugger is present. 
S0567,Dtrack,Dtrack ’s dropper can list all running processes.  
S0038,Duqu,The discovery modules used with  Duqu  can collect information on process details. 
S0062,DustySky,DustySky  collects information about running processes from victims.  
G1006,Earth Lusca,Earth Lusca  has used  Tasklist  to obtain information from a compromised host. 
S0605,EKANS,EKANS  looks for processes from a hard-coded list.   
S0081,Elise,Elise  enumerates processes via the  tasklist  command. 
S0064,ELMER,ELMER  is capable of performing process listings. 
S0367,Emotet,Emotet  has been observed enumerating local processes. 
S0363,Empire,Empire  can find information about processes running on local and remote systems.  
S0091,Epic,Epic  uses the  tasklist /v  command to obtain a list of processes.  
S0396,EvilBunny,EvilBunny  has used EnumProcesses() to identify how many process are running in the environment. 
S0512,FatDuke,FatDuke  can list running processes on the localhost. 
S0267,FELIXROOT,FELIXROOT  collects a list of running processes. 
S0355,Final1stspy,Final1stspy  obtains a list of running processes. 
S0182,FinFisher,FinFisher  checks its parent process for indications that it is running in a sandbox setup.  
S0696,Flagpro,Flagpro  has been used to run the  tasklist  command on a compromised system. 
S0661,FoggyWeb,FoggyWeb 's loader can enumerate all Common Language Runtimes (CLRs) and running Application Domains in the compromised AD FS server's  Microsoft.IdentityServer.ServiceHost.exe  process. 
S0503,FrameworkPOS,FrameworkPOS  can enumerate and exclude selected processes on a compromised host to speed execution of memory scraping. 
C0001,Frankenstein,"During  Frankenstein , the threat actors used  Empire  to obtain a list of all running processes. "
S0277,FruitFly,FruitFly  has the ability to list processes on the system. 
S1044,FunnyDream,"FunnyDream  has the ability to discover processes, including  Bka.exe  and  BkavUtil.exe . "
C0007,FunnyDream,"During  FunnyDream , the threat actors used  Tasklist  on targeted systems. "
S0410,Fysbis,Fysbis  can collect information about running processes. 
G0047,Gamaredon Group,Gamaredon Group  has used tools to enumerate processes on target hosts including Process Explorer.  
S0666,Gelsemium,Gelsemium  can enumerate running processes. 
S0049,GeminiDuke,GeminiDuke  collects information on running processes and environment variables from the victim. 
S0460,Get2,Get2  has the ability to identify running processes on an infected host. 
S0032,gh0st RAT,gh0st RAT  has the capability to list processes. 
S0249,Gold Dragon,Gold Dragon  checks the running processes on the victim’s machine. 
S0477,Goopy,Goopy  has checked for the Google Updater process to ensure  Goopy  was loaded properly. 
S0531,Grandoreiro,Grandoreiro  can identify installed security tools based on process names. 
S0237,GravityRAT,GravityRAT  lists the running processes on the system. 
G0125,HAFNIUM,HAFNIUM  has used  tasklist  to enumerate processes. 
S0151,HALFBAKED,HALFBAKED  can obtain information about running processes on the victim. 
S0617,HELLOKITTY,HELLOKITTY  can search for specific processes to terminate. 
S0170,Helminth,Helminth  has used  Tasklist  to get information on processes. 
G1001,HEXANE,HEXANE  has enumerated processes on targeted systems. 
S1027,Heyoka Backdoor,Heyoka Backdoor  can gather process information. 
G0126,Higaisa,Higaisa ’s shellcode attempted to find the process ID of the current process. 
S0431,HotCroissant,HotCroissant  has the ability to list running processes on the infected host. 
S0203,Hydraq,Hydraq  creates a backdoor through which remote attackers can monitor processes.  
S0278,iKitten,iKitten  lists the current processes running. 
S0434,Imminent Monitor,"Imminent Monitor  has a ""Process Watcher"" feature to monitor processes in case the client ever crashes or gets closed. "
G0100,Inception,Inception  has used a reconnaissance module to identify active processes and other associated loaded modules. 
S1072,Industroyer2,"Industroyer2  has the ability to cyclically enumerate running processes such as PServiceControl.exe, PService_PDD.exe, and other targets supplied through a hardcoded configuration. "
S0260,InvisiMole,InvisiMole  can obtain a list of running processes.  
S0581,IronNetInjector,IronNetInjector  can identify processes via C# methods such as  GetProcessesByName  and running  Tasklist  with the Python  os.popen  function. 
S0015,Ixeshe,Ixeshe  can list running processes. 
S0528,Javali,Javali  can monitor processes for open browsers and custom banking applications. 
S0044,JHUHUGIT,JHUHUGIT  obtains a list of running processes on the victim.  
S0201,JPIN,JPIN  can list running processes. 
S0283,jRAT,jRAT  can query and kill system processes. 
S0088,Kasidet,Kasidet  has the ability to search for a given process name in processes currently running in the system. 
S0265,Kazuar,Kazuar  obtains a list of running processes through WMI querying and the  ps  command. 
G0004,Ke3chang,Ke3chang  performs process discovery using  tasklist  commands.  
S0271,KEYMARBLE,KEYMARBLE  can obtain a list of running processes on the system. 
S0607,KillDisk,KillDisk  has called  GetCurrentProcess . 
G0094,Kimsuky,Kimsuky  can gather a list of all processes running on a victim's machine. 
S0599,Kinsing,Kinsing  has used ps to list processes. 
S0162,Komplex,The OsInfo function in  Komplex  collects a running process list. 
S0356,KONNI,KONNI  has used the command  cmd /c tasklist  to get a snapshot of the current processes on the target machine.  
S1075,KOPILUWAK,KOPILUWAK  can enumerate current running processes on the targeted machine. 
S0236,Kwampirs,Kwampirs  collects a list of running services with the command  tasklist /v . 
G0032,Lazarus Group,Several  Lazarus Group  malware families gather a list of running processes on a victim system and send it to their C2 server. A Destover-like variant used by  Lazarus Group  also gathers process times.      
S0211,Linfo,Linfo  creates a backdoor through which remote attackers can retrieve a list of running processes. 
S0681,Lizar,Lizar  has a plugin designed to obtain a list of processes.  
S0582,LookBack,LookBack  can list running processes. 
S0451,LoudMiner,LoudMiner  used the  ps  command to monitor the running processes on the system. 
S0532,Lucifer,Lucifer  can identify the process that owns remote connections. 
S0409,Machete,Machete  has a component to check for running processes to look for web browsers. 
S1016,MacMa,MacMa  can enumerate running processes. 
S1048,macOS.OSAMiner,macOS.OSAMiner  has used  ps ax | grep <name> | grep -v grep | ...  and  ps ax | grep -E...  to conduct process discovery. 
S1060,Mafalda,Mafalda  can enumerate running processes on a machine. 
G0059,Magic Hound,Magic Hound  malware can list running processes. 
S0652,MarkiRAT,MarkiRAT  can search for different processes on a system. 
S0449,Maze,Maze  has gathered all of the running system processes. 
S1059,metaMain,metaMain  can enumerate the processes that run on the platform.  
S0455,Metamorfo,Metamorfo  has performed process name checks and has monitored applications. 
S0688,Meteor,"Meteor  can check if a specific process is running, such as Kaspersky's  avp.exe . "
S0079,MobileOrder,MobileOrder  has a command to upload information about all running processes to its C2 server. 
G0021,Molerats,Molerats  actors obtained a list of active processes on the victim and sent them to C2 servers. 
S0149,MoonWind,MoonWind  has a command to return a list of running processes. 
S0256,Mosquito,Mosquito  runs  tasklist  to obtain running processes. 
G0069,MuddyWater,MuddyWater  has used malware to obtain a list of running processes on the system.  
G0129,Mustang Panda,Mustang Panda  has used  tasklist /v  to determine active process information. 
S0247,NavRAT,NavRAT  uses  tasklist /v  to check running processes. 
S0630,Nebulae,Nebulae  can enumerate processes on a target system. 
S0034,NETEAGLE,NETEAGLE  can send process listings over the C2 channel. 
S0198,NETWIRE,NETWIRE  can discover processes on compromised hosts. 
S1090,NightClub,NightClub  has the ability to use  GetWindowThreadProcessId  to identify the process behind a specified window. 
S0385,njRAT,njRAT  can search a list of running processes for Tr.exe. 
S0644,ObliqueRAT,ObliqueRAT  can check for blocklisted process names on a compromised host. 
S0346,OceanSalt,OceanSalt  can collect the name and ID for every process running on the system. 
G0049,OilRig,OilRig  has run  tasklist  on a victim's machine. 
C0012,Operation CuckooBees,"During  Operation CuckooBees , the threat actors used the  tasklist  command as part of their advanced reconnaissance. "
C0006,Operation Honeybee,"During  Operation Honeybee , the threat actors obtained a list of running processes on a victim machine using  cmd /c tasklist > %temp%\temp.ini . "
C0014,Operation Wocao,"During  Operation Wocao , the threat actors used  tasklist  to collect a list of running processes on an infected system. "
S0229,Orz,Orz  can gather a process list from the victim. 
S1017,OutSteel,OutSteel  can identify running processes on a compromised host. 
S0626,P8RAT,P8RAT  can check for specific processes associated with virtual environments. 
S0664,Pandora,Pandora  can monitor processes on a compromised host. 
S0208,Pasam,Pasam  creates a backdoor through which remote attackers can retrieve lists of running processes. 
S1050,PcShare,PcShare  can obtain a list of running processes on a compromised host. 
S0517,Pillowmint,Pillowmint  can iterate through running processes every six seconds collecting a list of processes to capture from later. 
S0501,PipeMon,PipeMon  can iterate over the running processes to find a suitable injection target. 
S0254,PLAINTEE,PLAINTEE  performs the  tasklist  command to list running processes. 
S0435,PLEAD,PLEAD  has the ability to list processes on the compromised host. 
S0013,PlugX,PlugX  has a module to list the processes running on a machine. 
S0428,PoetRAT,PoetRAT  has the ability to list all running processes. 
S0216,POORAIM,POORAIM  can enumerate processes. 
G0033,Poseidon Group,"After compromising a victim,  Poseidon Group  lists all running processes. "
S0139,PowerDuke,PowerDuke  has a command to list the victim's processes. 
S0441,PowerShower,PowerShower  has the ability to deploy a reconnaissance module to retrieve a list of the active processes. 
S0194,PowerSploit,PowerSploit 's  Get-ProcessTokenPrivilege  Privesc-PowerUp module can enumerate privileges for a given process.  
S0393,PowerStallion,PowerStallion  has been used to monitor process lists. 
S0223,POWERSTATS,POWERSTATS  has used  get_tasklist  to discover processes on the compromised host. 
S0184,POWRUNER,POWRUNER  may collect process information by running  tasklist  on a victim. 
S0238,Proxysvc,Proxysvc  lists processes running on the system. 
S0192,Pupy,Pupy  can list the running processes and get the process ID and parent process’s ID. 
S0650,QakBot,QakBot  has the ability to check running processes. 
S0629,RainyDay,RainyDay  can enumerate processes on a target system. 
S0458,Ramsay,Ramsay  can gather a list of running processes by using  Tasklist . 
S0241,RATANKBA,RATANKBA  lists the system’s processes.  
S0662,RCSession,RCSession  can identify processes based on PID. 
S0125,Remsec,Remsec  can obtain a process list from the victim. 
S0448,Rising Sun,Rising Sun  can enumerate all running processes and process information on an infected machine. 
G0106,Rocke,Rocke  can detect a running process's PID on the infected machine. 
S0270,RogueRobin,RogueRobin  checks the running processes for evidence it may be running in a sandbox environment. It specifically enumerates processes for Wireshark and Sysinternals. 
S0240,ROKRAT,ROKRAT  can list the current running processes on the system.  
S1078,RotaJakiro,"RotaJakiro  can monitor the  /proc/  directory of known  RotaJakiro  processes as a part of its persistence when executing with non-root permissions. If the process is found dead, it resurrects the process.  RotaJakiro  processes can be matched to an associated Advisory Lock, in the  /proc/locks  folder, to ensure it doesn't spawn more than one process. "
S1073,Royal,Royal  can use  GetCurrentProcess  to enumerate processes. 
S0148,RTM,RTM  can obtain information about process integrity levels. 
S0446,Ryuk,Ryuk  has called  CreateToolhelp32Snapshot  to enumerate all running processes. 
S1018,Saint Bot,Saint Bot  has enumerated running processes on a compromised host to determine if it is running under the process name  dfrgui.exe . 
S1085,Sardonic,Sardonic  has the ability to execute the  tasklist  command. 
S0461,SDBbot,SDBbot  can enumerate a list of running processes on a compromised machine. 
S0345,Seasalt,Seasalt  has a command to perform a process listing. 
S0596,ShadowPad,ShadowPad  has collected the PID of a malicious process. 
S0445,ShimRatReporter,ShimRatReporter  listed all running processes on the machine. 
S0063,SHOTPUT,SHOTPUT  has a command to obtain a process listing. 
G0121,Sidewinder,Sidewinder  has used tools to identify running processes on the victim's machine. 
S0692,SILENTTRINITY,"SILENTTRINITY  can enumerate processes, including properties to determine if they have the Common Language Runtime (CLR) loaded. "
S0468,Skidmap,Skidmap  has monitored critical processes to ensure resiliency. 
S0533,SLOTHFULMEDIA,"SLOTHFULMEDIA  has enumerated processes by ID, name, or privileges. "
S0273,Socksbot,Socksbot  can list all running processes. 
S0627,SodaMaster,SodaMaster  can search a list of running processes. 
C0024,SolarWinds Compromise,"During the  SolarWinds Compromise ,  APT29  used multiple command-line utilities to enumerate running processes.   "
S0615,SombRAT,SombRAT  can use the  getprocesslist  command to enumerate processes on a compromised host.   
